time,simulation,method,state,bias,estimate,truth
365,1,Aalen-Johansen,1,-0.0033443350961487317,0.5207246649038513,0.524069
365,1,Aalen-Johansen,2,-0.01338758827371811,0.1851144117262819,0.198502
365,1,Aalen-Johansen,3,0.016731923369868285,0.29416092336986827,0.277429
730,1,Aalen-Johansen,1,0.021594429143734106,0.2460074291437341,0.224413
730,1,Aalen-Johansen,2,-0.010946019637614046,0.17683198036238595,0.187778
730,1,Aalen-Johansen,3,-0.010648409506118228,0.5771605904938818,0.587809
1095,1,Aalen-Johansen,1,-0.0092566699877695,0.0892683300122305,0.098525
1095,1,Aalen-Johansen,2,0.01384088930208055,0.14545688930208056,0.131616
1095,1,Aalen-Johansen,3,-0.004584219314308968,0.765274780685691,0.769859
1460,1,Aalen-Johansen,1,-4.81852872061074e-4,0.043195147127938927,0.043677
1460,1,Aalen-Johansen,2,0.008860511964582124,0.09093451196458212,0.082074
1460,1,Aalen-Johansen,3,-0.008378659092519114,0.8658703409074809,0.874249
1825,1,Aalen-Johansen,1,-0.01264059274954786,0.006645407250452141,0.019286
1825,1,Aalen-Johansen,2,0.003255444452299229,0.051272444452299226,0.048017
1825,1,Aalen-Johansen,3,0.009385148297250234,0.9420821482972501,0.9326969999999999
365,2,Aalen-Johansen,1,-0.0010314654940138945,0.5230375345059861,0.524069
365,2,Aalen-Johansen,2,-0.031072947423297942,0.16742905257670207,0.198502
365,2,Aalen-Johansen,3,0.032104412917311254,0.30953341291731123,0.277429
730,2,Aalen-Johansen,1,-0.0151068867945931,0.2093061132054069,0.224413
730,2,Aalen-Johansen,2,-0.03268643288472681,0.1550915671152732,0.187778
730,2,Aalen-Johansen,3,0.04779331967931888,0.6356023196793189,0.587809
1095,2,Aalen-Johansen,1,0.0018730629174728425,0.10039806291747284,0.098525
1095,2,Aalen-Johansen,2,-0.036782318189517785,0.09483368181048223,0.131616
1095,2,Aalen-Johansen,3,0.03490925527204336,0.8047682552720433,0.769859
1460,2,Aalen-Johansen,1,0.007147252173436813,0.050824252173436814,0.043677
1460,2,Aalen-Johansen,2,-0.03085406955692773,0.05121993044307226,0.082074
1460,2,Aalen-Johansen,3,0.0237068173834889,0.897955817383489,0.874249
1825,2,Aalen-Johansen,1,0.002949610325878614,0.022235610325878615,0.019286
1825,2,Aalen-Johansen,2,-0.010108793155328678,0.03790820684467132,0.048017
1825,2,Aalen-Johansen,3,0.007159182829447941,0.9398561828294478,0.9326969999999999
365,3,Aalen-Johansen,1,0.0022610588303544343,0.5263300588303544,0.524069
365,3,Aalen-Johansen,2,-0.012063013699682268,0.18643898630031774,0.198502
365,3,Aalen-Johansen,3,0.009801954869326057,0.28723095486932604,0.277429
730,3,Aalen-Johansen,1,0.017545024712384893,0.2419580247123849,0.224413
730,3,Aalen-Johansen,2,-0.004842820480045307,0.1829351795199547,0.187778
730,3,Aalen-Johansen,3,-0.01270220423234103,0.575106795767659,0.587809
1095,3,Aalen-Johansen,1,0.027713149900322892,0.1262381499003229,0.098525
1095,3,Aalen-Johansen,2,4.324994997432774e-4,0.1320484994997433,0.131616
1095,3,Aalen-Johansen,3,-0.028145649400067918,0.741713350599932,0.769859
1460,3,Aalen-Johansen,1,0.004312692839258399,0.0479896928392584,0.043677
1460,3,Aalen-Johansen,2,0.00788483327194478,0.08995883327194477,0.082074
1460,3,Aalen-Johansen,3,-0.012197526111205392,0.8620514738887947,0.874249
